country,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,1446.0,163.0,487.0,2096.0,227.0,24.0,488.0,739.0,0.352576
Bulgaria,1503.0,158.0,688.0,2349.0,167.0,24.0,334.0,525.0,0.223499
Germany (until 1990 former territory of the FRG),1426.0,140.0,494.0,2060.0,220.0,37.0,549.0,806.0,0.391262
Estonia,1352.0,225.0,656.0,2233.0,213.0,21.0,403.0,637.0,0.285266
Greece,,,,0.0,,,,0.0,
Spain,1432.0,185.0,557.0,2174.0,182.0,50.0,465.0,697.0,0.320607
France,1544.0,151.0,,1695.0,,36.0,,36.0,0.021239
Italy,1423.0,195.0,636.0,2254.0,159.0,31.0,422.0,612.0,0.271517
Latvia,1420.0,255.0,537.0,2212.0,199.0,31.0,433.0,663.0,0.299729
Lithuania,1406.0,265.0,597.0,2268.0,191.0,18.0,392.0,601.0,0.264991
Luxembourg,,,,0.0,,,,0.0,
Hungary,,,,0.0,,,,0.0,
Netherlands,,,,0.0,,,,0.0,
Austria,,,,0.0,,,,0.0,
Poland,1412.0,203.0,543.0,2158.0,192.0,25.0,493.0,710.0,0.329008
Romania,,,,0.0,,,,0.0,
Slovenia,1340.0,198.0,623.0,2161.0,187.0,39.0,487.0,713.0,0.32994
Finland,1370.0,173.0,,1543.0,241.0,37.0,536.0,814.0,0.527544
United Kingdom,1375.0,178.0,565.0,2118.0,218.0,12.0,510.0,740.0,0.349386
Norway,1354.0,190.0,,1544.0,,41.0,640.0,681.0,0.441062
Serbia,,,,0.0,,,,0.0,
