country,country_code,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,BE,1334.0,434.0,404.0,2172.0,238.0,21.0,447.0,706.0,0.325046
Bulgaria,BG,,,,0.0,,,,0.0,
Germany (until 1990 former territory of the FRG),DE,1314.0,459.0,391.0,2164.0,226.0,28.0,454.0,708.0,0.327172
Estonia,EE,1316.0,512.0,416.0,2244.0,225.0,26.0,372.0,623.0,0.277629
Greece,EL,1388.0,418.0,374.0,2180.0,232.0,25.0,439.0,696.0,0.319266
Spain,ES,1353.0,487.0,423.0,2263.0,196.0,42.0,376.0,614.0,0.271321
France,FR,1371.0,491.0,398.0,2260.0,195.0,26.0,364.0,585.0,0.25885
Italy,IT,1343.0,520.0,430.0,2293.0,172.0,31.0,377.0,580.0,0.252944
Latvia,LV,,,,0.0,,,,0.0,
Lithuania,LT,,,,0.0,,,,0.0,
Luxembourg,LU,1374.0,561.0,362.0,2297.0,187.0,35.0,352.0,574.0,0.249891
Hungary,HU,1369.0,442.0,456.0,2267.0,227.0,12.0,366.0,605.0,0.266873
Netherlands,NL,1342.0,480.0,374.0,2196.0,211.0,22.0,439.0,672.0,0.306011
Austria,AT,1267.0,565.0,423.0,2255.0,177.0,32.0,413.0,622.0,0.275831
Poland,PL,1322.0,503.0,443.0,2268.0,199.0,22.0,387.0,608.0,0.268078
Romania,RO,1399.0,506.0,444.0,2349.0,194.0,10.0,315.0,519.0,0.220945
Slovenia,SI,,,,0.0,,,,0.0,
Finland,FI,1280.0,466.0,401.0,2147.0,235.0,35.0,452.0,722.0,0.336283
United Kingdom,UK,1265.0,546.0,387.0,2198.0,213.0,18.0,397.0,628.0,0.285714
Norway,NO,1242.0,519.0,400.0,2161.0,206.0,31.0,475.0,712.0,0.329477
Serbia,RS,1318.0,466.0,438.0,2222.0,223.0,23.0,408.0,654.0,0.294329
